Id,Sentiment,Acara TV,Text Tweet
47,positive,HitamPutihTransTV,"Tweeps terima kasih sudah menyaksikan Hitam Putih hari ini, besok kembali Live di @TRANS7 #HPViral"
48,positive,HitamPutihTransTV,#hitamputihtrans7 emang selalu keren.. siapapun tamunya..
49,positive,HitamPutihTransTV,"subhanallah, ni anak2 karunia yg tak ada bandingnya... trans7 hitamputih"
50,positive,HitamPutihTransTV,"Sangat terkesan setelah mendengar salah satu dr mereka, jika saya adalah orang yg... maju terus hitam putih semoga sukses slalu"
51,negative,HitamPutihTransTV,"Hitam putih bego, haruka diundang bentar biar pd liat younglex, udah gt malah dihina, Bego"
52,negative,HitamPutihTransTV,"Miris liat pemerintah, Juara angkat berat se-asia tp tdk ada biaya mengikuti kejurnas.. #miris #hitamputihtrans7 "
53,negative,HitamPutihTransTV,"Juara 1 angkat berat Se-Asia, tdk menerima hadiahnya dan tidak bisa ikut kejurnas karena terkendala biaya #hitamputihtrans7"
54,negative,HitamPutihTransTV,"haruka lain kali kalau diundang ke hitam putih ditolak aja, hostnya ga menghargai kamu"
55,negative,HitamPutihTransTV,Berasa aneh nonton acara Hitam Putih tapi penonton nya anak yg sekolah di sekolah gua #smkjakarta1
56,negative,HitamPutihTransTV,"sedih dengar curhatanmu, Roxana. Semoga Tuhan tunjukkan jalan dan titik terang utk Roxana #hitamputih #pegulat"
57,negative,HitamPutihTransTV,Miris ketika anak Indonesia kesulitan menggunakan Bahasa Indonesa dan lebih nyaman menggunakan bahasa asing #HitamPutihTrans7 #AkuIndonesia
58,negative,HitamPutihTransTV,"Sombongnya mentang2 kaya pake diumumkan, saya host kaya di Hitam Putih Trans7...!!!"
59,negative,HitamPutihTransTV,parah banget hitam putih di Trans7. Ngomong sembarang. Yg merusak generasi muda acara kyk gini
60,negative,HitamPutihTransTV,Orang bangkrut itu bukan perkara soal uang tetapi bangkrut itu orang yang sudah tidak punya mimpi -BangQomar #HitamPutihT7
61,negative,HitamPutihTransTV,Menakutkan Powernya Oma Martha #HitamPutihT7
62,negative,HitamPutihTransTV,"#hitamputihT7 jika hasilnya tdk sesuai dgn apa yg dikehendaki para pendemo akan demo lg, silakah jika ini diartikan sbg pemaksaan kehendak"
63,negative,HitamPutihTransTV,mulut farhat abas anjay bener di #HitamPutihT7
64,negative,HitamPutihTransTV,Klo episode berikutnya muncul lagi di @HitamPutihT7 saya ga bakal nonton lg hitam putih.. #hitamputiht7
65,negative,HitamPutihTransTV,Yaampun banyak anak kecil yang nonton #hitamputihT7
66,negative,HitamPutihTransTV,Seorang anak yg butuh pengakuan dari sang ayah #hitamPutihT7 @marioteguh
67,negative,HitamPutihTransTV,Mario Teguh mencampakkan anak nya ? #HitamPutihT7
68,negative,HitamPutihTransTV,"Orang tuna netra aja bisa berbagi, kok yg pegang jabatan tinggi korupsi #HitamPutihT7"
69,negative,HitamPutihTransTV,@pandji garing banget sih ni orang #hitamputiht7
70,negative,HitamPutihTransTV,"kalo sekarang yang nyanyi anak2,, tapi lagu Na ... Terlalu Menyakitkan Memalukan untuk disebutkan #savelaguanak #HitamputihT7"
71,negative,HitamPutihTransTV,bukan maksud ngatain tp cuma bertanya knp hanya orang kecil atau bawah yg ditindes? @HitamPutihT7 #HitamPutihT7
72,negative,HitamPutihTransTV,"Bos kau kalo cowo kerja salah di bentak abis, kalo cewe malah diajakin becanda trus ketawa #MyStupidBoss #HitamPutihT7"
73,negative,HitamPutihTransTV,suara sang veteran kalau perlu koruptor di hukum mati! #hitamPutihT7
74,negative,HitamPutihTransTV,Kok berita nya ga nyebar sih #HitamPutihT7 #Trans7
75,negative,HitamPutihTransTV,"@HitamPutihT7 buta tuh orang, dalem ruangan pake kacamata hitam #HitamPutihT7"
76,negative,HitamPutihTransTV,Ya dunia jadi terharu kepergian mbak jupe @hitamputih_trans7
77,negative,HitamPutihTransTV,jadi gitu nasib atlet kita ya? @KEMENPORA_RI #HitamputihT7
78,negative,HitamPutihTransTV,knp ya seorang sahabat bs lupa dg sahabatnya bila sudah bertemu teman lama / barunya? #HitamPutihT7
79,negative,HitamPutihTransTV,"Baby tatan nangis ngeliat daddy, @HitamPutihT7 #hitamputiht7"
80,negative,HitamPutihTransTV,angkat topi dan tundukkan kepala buat mbah simpen #hitamputihtrans7
81,negative,HitamPutihTransTV,toleransi umat beragama macam apa yg diterapkan di Serang Banten? Toleransi hanya mitos #hitamPutihT7
82,negative,HitamPutihTransTV,suara sang veteran : kalau perlu koruptor di hukum mati! #hitamPutihT7
83,negative,HitamPutihTransTV,Turut berduka buat anak nya buk pak #HitamPutihT7
84,negative,HitamPutihTransTV,ingin kan hal yg baik tetapi belum tentu semua itu sesuatu yg diharapkan? #moreppie #hitamputihT7
85,negative,HitamPutihTransTV,ga tau kenapa semua menjadi buruk ketika kau pergi #moreppie #hitamputihT7
86,negative,HitamPutihTransTV,#HitamPutihT7 udah sodok ajah bu haha #TributeToWanitaIndonesia
87,negative,HitamPutihTransTV,butuh ketegasan dari pihak masyarakat dan pemerintah kita butuh tindakan bukan hanya ngoceh di medsos #HitamPutihT7 #PollingHitamPutih
88,negative,HitamPutihTransTV,hidup itu harus dijalanin bukan dipikirin #hitamputiht7
89,negative,HitamPutihTransTV,Pemimpin itu adalah pribadi yang dikorbankan #HitamPutihT7
90,negative,HitamPutihTransTV,"Hidup ini dijalanin, bukan dipikirin. Mongol Stres #hitamputiht7"
91,negative,HitamPutihTransTV,"#HitamPutihT7 Demo gak akan nyelesaikan masalah, harusnya bermusyawara ajha #HitamPutihT7"
92,negative,HitamPutihTransTV,#hitamputihT7 bayangkan kalau seluruh konvensional akan buat online dimana pengusahanya tdk perlu bayar apa2. yg perorangan pasti kalah
93,negative,HitamPutihTransTV,"lebih enak taksi konvensional, kalo kita kepepet ada taksi yg lewat langsung, kalau nunggu yg online lama. #HitamPutihT7 #OnlineVsKonvension"
94,negative,HitamPutihTransTV,#hitamputiht7 apakah ada hal kaya gini di negara lain ? Intinya saya gk setuju usaha kaya gini #OnlineVSKonvensional
95,negative,HitamPutihTransTV,"Gak punya Gadget, mahal, nipu / gk jelas argonya sering argo kuda dan gak aman pake konvensional #hitamputihtrans7"
96,negative,HitamPutihTransTV,"Hidup itu pilihan, jangan pasrah dengan keadaan"
97,negative,HitamPutihTransTV,#HitamPutihT7 Gawat darurat tetangga menembaki dg sengaja kucing2 disekitar rumah #komplekrumahelitbandung
98,negative,HitamPutihTransTV,"miris sekali liat keadaan hewan yg di aniaya, #HitamPutihT7 #hpsayangbinatang"
99,negative,HitamPutihTransTV,"hanya membicarakan permasalahan orang lain, memalukan"
100,negative,HitamPutihTransTV,dedy sombong nya keteraluan
101,positive,IndonesiaLawyersClubTvOne,"Suka banget nonton #IndonesiaLawyersClub bisa menambah wawasan, bisa belajar cara membicarakan suatu masalah, keren @ILC_tvOnenews"
102,positive,IndonesiaLawyersClubTvOne,"ngakak, mantap dah pokoknya seru"
103,positive,IndonesiaLawyersClubTvOne,RINDU ILC INDOBESIA LAWYERS CLUB DI TVONE
104,positive,IndonesiaLawyersClubTvOne,"Indonesia Lawyers Club merupakan program talkshow paling ditunggu pemirsa tvOne, yang membahas topik2 terkini #9TAHUNTVONE"
105,positive,IndonesiaLawyersClubTvOne,Selalu kagum dengan Buya Syafii Maarif - ILC tvOne https://youtu.be/gPXSkLtAL5Y
106,positive,IndonesiaLawyersClubTvOne,"Saya punya Panglima yang membanggakan, ILC tvOne https://youtu.be/tR2tN1u7eAw"
107,positive,IndonesiaLawyersClubTvOne,Rating Indonesia Lawyers Club TV One Langsung Melesat #tvone #setelah411
108,positive,IndonesiaLawyersClubTvOne,Sejuk kalo ILC itu kayak gini obrolannya - ILC tvOne
109,positive,IndonesiaLawyersClubTvOne,"semuanya nonton tvOne, Indonesia Lawyers Club yuk"
110,positive,IndonesiaLawyersClubTvOne,Belajar cara berdebat di bidang hukum #ilc
111,positive,IndonesiaLawyersClubTvOne,Selamat tayang kembali Indonesia Lawyers Club tvOne
112,positive,IndonesiaLawyersClubTvOne,Ini yg bikin adem Hati.. Aa Gymnastiar #ilc
113,positive,IndonesiaLawyersClubTvOne,Ikhlas itu melepaskan dan mendoakan.. #ILC
114,positive,IndonesiaLawyersClubTvOne,Bang @karniilyas cerdas ... #ILC hebat
115,positive,IndonesiaLawyersClubTvOne,pak Ustadz. keren banget.. #ILC
116,positive,IndonesiaLawyersClubTvOne,#ilc saatnya damai bersenandung
117,positive,IndonesiaLawyersClubTvOne,Saatnya Damai Bersenandung #ILC dan Pemecah Belah Umat Beragama Dimusnahkan
118,positive,IndonesiaLawyersClubTvOne,Semoga makin paham seperti apa sejatinya rupa Indonesia #ILC
119,positive,IndonesiaLawyersClubTvOne,ILC malam ini adem #indonesialawyersclub
120,positive,IndonesiaLawyersClubTvOne,"Indahnya ILC malam ini, semua pemuka agama saling rangkul dan setuju untuk meninggalkan kasus ahok yang merusak keselarasan bangsa #ILC"
121,positive,IndonesiaLawyersClubTvOne,Setuju banget sama bapak ustad #ILC
122,positive,IndonesiaLawyersClubTvOne,Top banget Utadz Zaitun Rasmin #ilc
123,positive,IndonesiaLawyersClubTvOne,Yuk tonton TVOne selalu menyajikan berita2 obyektif #TVOneSllDihati
124,positive,IndonesiaLawyersClubTvOne,"#ilc,,, polmart memang bijaksana"
125,positive,IndonesiaLawyersClubTvOne,Rakyat mendukung KPK usut tuntas kasus e-KTP @karniilyas #ILCTVOne
126,positive,IndonesiaLawyersClubTvOne,Acara televisi yang sangat saya suka #ilcTvOne
127,positive,IndonesiaLawyersClubTvOne,ga sabar nunggu 2019!!! #ILCTvOne
128,positive,IndonesiaLawyersClubTvOne,semangat dan sehat selalu pak karni penonton setia menunggu ILC tayang kembali @karniilyas #ILCtvone
129,positive,IndonesiaLawyersClubTvOne,Adem dengerin nasehat dari Aa gym semoga sehat slalu dan dalam lindunganNYA #IslamJagaNKRI @GeneralGatot #ILCtvone
130,positive,IndonesiaLawyersClubTvOne,"sangat banyak ilmu yang bisa kita serap di #ILCTVONE semalam, menyejukan"
131,positive,IndonesiaLawyersClubTvOne,#ILCtvone bangga kepada #PANGLIMATNI #JendralGatotNurmantyo
132,positive,IndonesiaLawyersClubTvOne,"Salut dengan komitmen Pak @GeneralGatot , tegas, berwibawa, inilah Jenderal sesungguhnya. #ILC411 #ILCtvone"
133,positive,IndonesiaLawyersClubTvOne,Hormat jendral... #ilctvone #keren #nextpresiden2019
134,positive,IndonesiaLawyersClubTvOne,Aa gym.... Menyejukan mental dan jiwa #ilctvone
135,positive,IndonesiaLawyersClubTvOne,Terimakasih buya Syafii @maarifinstitute . Bangga dg kejernihaannya #ilctvone
136,positive,IndonesiaLawyersClubTvOne,Penjelasan Kapolri jelas dan tegas. Barakallahu. Mari buka hati #ilctvone  #JagaNKRI
137,positive,IndonesiaLawyersClubTvOne,"jika kita memiliki kasih,  seharusnya saling memaafkan jika ada org yg sudah mau minta maaf, itu baru keren, salut. #ilctvone"
138,positive,IndonesiaLawyersClubTvOne,"#Ilctvone @jonru @hafidz_ary @AHMADDHANIPRAST sampe diketawain, krn awalnya kalem, diujung keringat dingin matanya merem asli lucu"
139,positive,IndonesiaLawyersClubTvOne,Ahmad Dhani ngomong Pasti seru ini.... #ILCTVOne
140,positive,IndonesiaLawyersClubTvOne,"Mendengar pendapat pak hasim muzadi sangat menentramkan, keren #ilctvone"
141,positive,IndonesiaLawyersClubTvOne,Salut dan hormat utk bang jhonson panjaitan lugas dan masuk akal... #ILCtvone
142,positive,IndonesiaLawyersClubTvOne,Kompak dan sama  pembelaan antara BNN n Polisi...  #ilctvone
143,positive,IndonesiaLawyersClubTvOne,Keren kali abang pengacara botak ini #ILCTvOne
144,positive,IndonesiaLawyersClubTvOne,Jokowi ini org betul2 soleh.. hendropriyono #ilctvone
145,positive,IndonesiaLawyersClubTvOne,Top n mencerahkan prof @mohmahfudmd ..! #ilctvone
146,positive,IndonesiaLawyersClubTvOne,Media dukung Ahok karena pendapatan iklan dari korporasi juga besar. #ILCtvone
147,positive,IndonesiaLawyersClubTvOne,@ILC_tvOnenews keren bikin melek #ilctvone
148,positive,IndonesiaLawyersClubTvOne,Salut sama pak Darmawan Salihin...  #ILCTVONE
149,positive,IndonesiaLawyersClubTvOne,semga ilc tetap jadi memberikan informasi yang benar
150,positive,IndonesiaLawyersClubTvOne,"acara debat yag hebat, keren #ILC"
151,negative,IndonesiaLawyersClubTvOne,Yang di tunggu bukan tvshow tapi INDONESIA LAWYERS CLUB. TVshow tidak cocok dengan karakter siaran tvone!
152,negative,IndonesiaLawyersClubTvOne,"Indonesia Lawyers Club TvOne malam ini sepertinya batal tayang lagi. memalukan Rezim ini terlalu sakit, sehingga takut http://fb.me/18pYNAcs"
153,negative,IndonesiaLawyersClubTvOne,Potensi teroris sangat besar. Jangan bikin pernyataan yg memberi peluang pd teroris #ILC
154,negative,IndonesiaLawyersClubTvOne,"Indonesia banyak masalah tp gak ada sikap tegas dr pak presiden, ditanya di demo malah sibuk pencitraan & upload video gak penting! #ILC"
155,negative,IndonesiaLawyersClubTvOne,"Kalau melihat acara #ILC Membidik Habieb Rizieq, Habieb ga perlu pulang ke Indonesia. Ga penting. Ga mutu."
156,negative,IndonesiaLawyersClubTvOne,"@Busyro_Muqoddas : Minoritas ekonomi kuat menguasai Mayoritas Ekonomi lemah, tidak pernah dibahas, inilah sumber radikal, miris #ILC @karnii"
157,negative,IndonesiaLawyersClubTvOne,sekali lg mengingatkan @aniesbaswedan untuk jaga jarak dg Islamis radikal jika tak ingin melihat bangsa ini hancur. #ILC
158,negative,IndonesiaLawyersClubTvOne,omongannya ga menarik. ga berisi. #ILC
159,negative,IndonesiaLawyersClubTvOne,Anis difitnah katanya dia... #ILC
160,negative,IndonesiaLawyersClubTvOne,Sebuah pertanyaan kepada metromini utk dijadikan metronome yang dibentuk oleh kemacetan yang cukup padat di berikan oleh putra petir. #ilc
161,negative,IndonesiaLawyersClubTvOne,"buat para pembela AHOK, Cek cara berpikirnya, masa kalah sama ANAK SD. #AhokHarusDipenjara @ILC_tvOnenews #ILC"
162,negative,IndonesiaLawyersClubTvOne,@MataNajwa kok kayak provokatif ya pembawa acaranya. Beda kelas dg #ILC @ILC_tvOnenews
163,negative,IndonesiaLawyersClubTvOne,"Saya pribadi tdk suka dgn acara Mata Najwa dan ILC, tdk menyelesaikan masalah kayaknya. #matanajwa #ILC"
164,negative,IndonesiaLawyersClubTvOne,Benarkah kebohongan yang diulang-ulang... #iLc
165,negative,IndonesiaLawyersClubTvOne,Diracun dengan pujian.. #ILC
166,negative,IndonesiaLawyersClubTvOne,"males nonton, Topik #ILC ga kekinian."
167,negative,IndonesiaLawyersClubTvOne,Meskipun kebohongan itu lari secepat kilat satu waktu kebenaran akan mengalahkannya #ILC
168,negative,IndonesiaLawyersClubTvOne,"org yg namanya tampang Nabi tp hati Iblis, sesuai dgn pernyataan pengacara Nazarudin #ILC"
169,negative,IndonesiaLawyersClubTvOne,"para pejabat sedang sibuk membicarakan ""HAK ANGKET"", #ILC tv0ne http://fb.me/2RGmoq4cL"
170,negative,IndonesiaLawyersClubTvOne,saya paham bahwa saya gagal paham...  #ILC
171,negative,IndonesiaLawyersClubTvOne,"ngomong segitu panjang, gak dapet maksudnya mau apa... #aneh #ilc"
172,negative,IndonesiaLawyersClubTvOne,"Sumpah liat mukanya #FahriHamzah di #ILC pengen gw lempar pake sepatu,, nyebelin bgt"
173,negative,IndonesiaLawyersClubTvOne,Percuma pak. fahri dower itu masih sakit hati sama KPK. #ILC
174,negative,IndonesiaLawyersClubTvOne,"DPR TERUSIK,, KPK DIBIDIK #ILC"
175,negative,IndonesiaLawyersClubTvOne,@ReflyHZ Ajarin dewan ttg hak angket !!! #ILC
176,negative,IndonesiaLawyersClubTvOne,"Saya rakyat, tp saya jg kadang ga seneng lihat cara nya yg superbodi, kok kyknya tebang pilih jg.. #ILC"
177,negative,IndonesiaLawyersClubTvOne,#ILC merajut jakarta kembali setelah tercabik cabik karena kepemimpinan masa lalu
178,negative,IndonesiaLawyersClubTvOne,"@karniilyas maksudnya, cinta akan uang adalah akar kejahatan #ILCTVOne"
179,negative,IndonesiaLawyersClubTvOne,Makin hari makin geram ngeliat tingkah laku dan akhlaq oknum yang mengatasnama kan ISLAM #ILCTVONE
180,negative,IndonesiaLawyersClubTvOne,"Pembohongan publik itu, ketika rambut udah putih beruban tapi di cat hitam #ilctvone"
181,negative,IndonesiaLawyersClubTvOne,"#MataNajwa meskipun beda kelas sm #ILCTVOne knp masih bebas tanpa pembatalan, Tanya kenapa?????"
182,negative,IndonesiaLawyersClubTvOne,"Nonton ILC tokoh betawi bilang, org betawi itu gampang intinya, ""bacot lu jaga.."" jadi itulah intinya.. #ilctvone"
183,negative,IndonesiaLawyersClubTvOne,"Merajut kembali Jakarta? Gampang kok. ""Bacot lu jaga"" #ILCTVOne"
184,negative,IndonesiaLawyersClubTvOne,buya safii maarif yg lebih tua kalah bijak dari nasihat bung eep yg jauh lebih muda #ILCtvOne
185,negative,IndonesiaLawyersClubTvOne,Merampas hak dasar sebagai manusia harus batal demi hukum #ILCTvOne
186,negative,IndonesiaLawyersClubTvOne,Pihak polisi kasihan jadi terlihat sangat bodoh berhadapan dengan argumentasi hukum dan pakar IT #IlcTvOne
187,negative,IndonesiaLawyersClubTvOne,"itu bapak Abi Manyu kasian.... beliau tidak paham WhatsApp, miris #ilctvone"
188,negative,IndonesiaLawyersClubTvOne,Bintang #ILCtvOne pun muncul #AaGym Tidak ada partai atau tokoh manapun yang sanggup menggerakkan orang http://fb.me/2WDYOkqZU
189,negative,IndonesiaLawyersClubTvOne,"Menghimbau jangan terprovokasi, tp memantik kebencian.. Tidak meneduhkan tp membuat mendung.. #ILCTvOne"
190,negative,IndonesiaLawyersClubTvOne,Tindakan anarkis pada saat aksi bukan oleh pendemo #ILCTvOne #SaveHmI
191,negative,IndonesiaLawyersClubTvOne,"Sepenting apapun itu, ingat kita akan mati, seram #ILCtvone"
192,negative,IndonesiaLawyersClubTvOne,"siapa lagi? ketua preman pasar ikutan ngomong, memalukan #ILCtvone"
193,negative,IndonesiaLawyersClubTvOne,"jgn krn cuma jaga moral dr konten porno, negara ini darurat radikalisme, mau tunggu perang kyk di suriah baru kpi sadar? #ILCTVONE"
194,negative,IndonesiaLawyersClubTvOne,kami butuh fakta bukti bukan hanya ngomong kebohongan #ILCTVOne
195,negative,IndonesiaLawyersClubTvOne,Kasian ya yg bapak2 berpeci pake batik merah tadi air mata nya dikeluarin cuma krn ahoax #miris #ILCtvone
196,negative,IndonesiaLawyersClubTvOne,"Syaiton itu musuhmu, jgn dijadikan sbg teman Manusia bs kesetanan, tp setan tdk bs kemanusiaan... #insyaflahwahaimanusia #ILCtvone"
197,negative,IndonesiaLawyersClubTvOne,"#ILCtvone mendengar cerita bu marwah aku merasa bodoh, memalukan"
198,negative,IndonesiaLawyersClubTvOne,#ILCTVONE ini bang gaya nya benar2 pemikiran liberal miris sekali
199,negative,IndonesiaLawyersClubTvOne,Sesat pikir para pengamat #taxamnesti #ILCtvone
200,negative,IndonesiaLawyersClubTvOne,berbicara kelamaan ribet #ILC
201,positive,KickAndyMetroTV,"ih lucu, mas kick andy nya senyum2 aja"
202,positive,KickAndyMetroTV,nonton pak hasan Merkids di kick andy sangat menginspirasi salut pak hasan
203,positive,KickAndyMetroTV,cara Ubah Mimpimu Jadi Tindakan Kick Andy
204,positive,KickAndyMetroTV,Kickandy gokil #kickandy
205,positive,KickAndyMetroTV,"Terima kasih sudah menonton acara #kickandy eps ubah mimpimu jadi tindakan, semoga bermanfaat"
206,positive,KickAndyMetroTV,Temukan lentera jiwamu #kickandy #mahasiswaum
207,positive,KickAndyMetroTV,Agung.. Saya akan undang lagi.. Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy
208,positive,KickAndyMetroTV,PARA MUSISI YG MENGGELORAKAN SEMANGAT NASIONALISME DAN KEBHINEKAAN UNJUK GIGI #KICKANDY NKRI HARGA MATI...
209,positive,KickAndyMetroTV,Anak2 mulai berimajinasi. #kickandy
210,positive,KickAndyMetroTV,CARA GILA MENDAKI GUNUNG #KickAndy Luar Biasa Mantap Jiwa
211,positive,KickAndyMetroTV,sayangilah alam niscaya alam akan menyayangimu #kickAndy
212,positive,KickAndyMetroTV,mantan narapidana pun dirangkulnya untuk dicarikan pekerjaan untuk menjalani hidup yg lbh baik lagi
213,positive,KickAndyMetroTV,Agung @eevnxx mampu membuktikan sebuah karya yg mengagumkan bisa dihasilkan dgn belajar scr otodidak
214,positive,KickAndyMetroTV,Salah satu kejadian yang membuat penonton tertawa saat agung hapsah muncul #KickAndy
215,positive,KickAndyMetroTV,Agung akan diundang  Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy
216,positive,KickAndyMetroTV,Jatuh lalu bangkit Untuk membantu sesama #Kickandy
217,positive,KickAndyMetroTV,Rasa bangga itu ada setelah saya bs menyumbang karya kecil buat NKRI Ronny #KickAndy patut acungi jempol
218,positive,KickAndyMetroTV,"Sahabat Gimbal Alas, nanti malam jangan lupa ya nonton #KickAndy Cara Gila Mendaki Gunung ala Cak Tarpin"
219,positive,KickAndyMetroTV,"Hanya orang takut yang bisa berani, karena keberanian http://ekhs7903.m.nomor1.com/ekhs7903/menulis-adalah-kesenangan-saya.htm … #kickandy"
220,positive,KickAndyMetroTV,#kickandy Anda hanya dekat dengan mereka yang Anda sukai. Dan Anda menghindari orang yag tidak Anda sukai
221,positive,KickAndyMetroTV,Anak 16Th yang berfikir dewasa mampu mampu membiyayai sekolahnya sendiri dengan cara membajak sawah #kickandy @Metro_TV @MetroTVToday
222,positive,KickAndyMetroTV,"kangen lagi nonton #kickandy sama ayah, ayah langsung bilang, seharusnya kamu bersyukur"
223,positive,KickAndyMetroTV,#kickandy @KickAndyShow siang ini jg jadi ajang reuni sahabat kosti DKI dan kosti Jateng
224,positive,KickAndyMetroTV,Bapak ku lucu ya #kickandy
225,positive,KickAndyMetroTV,"besok pagi harus UTS, jd pulang duluan cuma poto bareng gambarnya #kickandy @KickAndyShow"
226,positive,KickAndyMetroTV,Bahagianya Masuk Tv bersama Kawan #kickandy @ Kick Andy… https://www.instagram.com/p/BTGua2KhkXQ/
227,positive,KickAndyMetroTV,Keren dan kocak nih tamu #kickAndy mereka-mereka yg memang lomba design yg berasal dari Malang
228,positive,KickAndyMetroTV,"lucu ni bapak, bikin ketawa terus, persis kayak di tv #kickandy http://ift.tt/2o1rW9W"
